,zipcode,city,quarter,region,learn_more,population_density,retail_sparsity,potential
170,56068,Koblenz,Koblenz-Süd,Rheinland-Pfalz,/wiki/Koblenz-S%C3%BCd,0.2653358212582296,0.9901960784313726,0.6566090607923425
171,13156,Berlin,Berlin-Niederschönhausen,Berlin,/wiki/Berlin-Niedersch%C3%B6nhausen,0.2571348875767624,0.9978247075319425,0.6562833075405556
172,47053,Duisburg,Duisburg-Hochfeld,Nordrhein-Westfalen,/wiki/Hochfeld,0.252345234204916,1.0,0.6547952248059768
173,50735,Köln,Köln-Riehl,Nordrhein-Westfalen,/wiki/Riehl_(K%C3%B6ln),0.2579985510759892,0.9940942701467081,0.6546515524460212
174,12099,Berlin,Berlin-Tempelhof,Berlin,/wiki/Berlin-Tempelhof,0.2637352498024466,0.9872709732585442,0.6540330655487007
175,50676,Köln,Köln-Altstadt/Süd,Nordrhein-Westfalen,/wiki/Altstadt-S%C3%BCd,0.6207722072983278,0.629159798050198,0.6534216255486681
176,86159,Augsburg,Augsburg-Hochfeld,Bayern,/wiki/Augsburg-Hochfeld,0.2473896370855474,1.0,0.651974520708783
177,60433,Frankfurt am Main,Frankfurt am Main-Eschersheim,Hessen,/wiki/Frankfurt-Eschersheim,0.2469564482923245,1.0,0.6517279515518338
178,22297,Hamburg,Hamburg-Alsterdorf,Hamburg,/wiki/Hamburg-Alsterdorf,0.2554754038410891,0.9908918399650843,0.6513925789482629
179,80469,München,München-Isarvorstadt,Bayern,/wiki/Ludwigsvorstadt-Isarvorstadt,0.6149332796777344,0.6310160361161556,0.6511546961607433
180,80336,München,München-Ludwigsvorstadt,Bayern,/wiki/Ludwigsvorstadt-Isarvorstadt,0.6149332796777344,0.6310160361161556,0.6511546961607433
181,"80331, 80333, 80335, 80337, 80539, 80634, 80636, 80639, 80686, 80796, 80797, 80798, 80801, 80803, 80805, 80807, 80933, 80992, 80999, 81243, 81245, 81371, 81373, 81375, 81377, 81477, 81545, 81667, 81669, 81671, 81677, 81679, 81735, 81739, 81825, 81925, 81927, 85540",München,,Bayern,/wiki/M%C3%BCnchen,0.2494997250427351,0.9956833715121063,0.6507185675379207
182,04299,Leipzig,Leipzig-Stötteritz,Sachsen,/wiki/St%C3%B6tteritz,0.2470983282864164,0.9961636827816015,0.6496250941232713
183,09119,Chemnitz,Chemnitz-Kapellenberg,Sachsen,/wiki/Chemnitz-Kapellenberg,0.2395622263707694,1.0,0.6475191929366161
184,24116,Kiel,Kiel-Schreventeich,Schleswig-Holstein,/wiki/Schreventeich,0.2504934686775708,0.9885687065131317,0.64723456600298
185,80993,München,München-Moosach,Bayern,/wiki/Moosach_(M%C3%BCnchen),0.257735010476059,0.9809048952765154,0.646994212094953
186,01097,Dresden,Dresden-Leipziger Vorstadt,Sachsen,/wiki/Leipziger_Vorstadt,0.2983334339692499,0.9397825427036312,0.6466959939658088
187,50969,Köln,Köln-Zollstock,Nordrhein-Westfalen,/wiki/Zollstock_(K%C3%B6ln),0.241282805568424,0.9915966382579389,0.6437153824876212
188,39106,Magdeburg,Magdeburg-Alte Neustadt,Sachsen-Anhalt,/wiki/Alte_Neustadt,0.2376537816761457,0.9944975455736261,0.6433009417327828
189,13597,Berlin,Berlin-Spandau,Berlin,/wiki/Berlin-Spandau,0.2572577639342914,0.9736250209426085,0.642578892990233
190,65933,Frankfurt am Main,Frankfurt am Main-Griesheim,Hessen,/wiki/Frankfurt-Griesheim,0.2407215982902226,0.988927334993097,0.6418765900867669
191,28213,Bremen,Bremen-Schwachhausen,Bremen,/wiki/Schwachhausen,0.2304731303798618,0.9967782638708061,0.6405119214081629
192,60329,Frankfurt am Main,Frankfurt am Main-Bahnhofsviertel,Hessen,/wiki/Frankfurt-Bahnhofsviertel,0.3559164546645318,0.8697633973100425,0.6396174064525857
193,22525,Hamburg,Hamburg-Stellingen,Hamburg,/wiki/Hamburg-Stellingen,0.2396348754669792,0.9853955374252983,0.6392477485816598
194,01217,Dresden,Dresden-Räcknitz/Zschertnitz,Sachsen,/wiki/R%C3%A4cknitz/Zschertnitz,0.2244369154325834,1.0,0.6389099324364186
195,44263,Dortmund,Dortmund-Hörde,Nordrhein-Westfalen,/wiki/H%C3%B6rde,0.2322671589877086,0.990461049028468,0.6379373436859074
196,13591,Berlin,Berlin-Staaken,Berlin,/wiki/Berlin-Staaken,0.2219066358237269,0.9987028989482343,0.6367314041882802
197,50739,Köln,Köln-Bilderstöckchen,Nordrhein-Westfalen,/wiki/Bilderst%C3%B6ckchen,0.2198876441979995,1.0,0.6363205072467712
198,10318,Berlin,Berlin-Karlshorst,Berlin,/wiki/Berlin-Karlshorst,0.2226020588757484,0.9957219249018779,0.6354304786088241
199,39112,Magdeburg,Magdeburg-Leipziger Straße,Sachsen-Anhalt,/wiki/Leipziger_Stra%C3%9Fe_(Magdeburg),0.234967957232799,0.9832828329992619,0.6353888171644225
